randid,WONumber,WOStatus,WOType,Date_EventStart,Date_EventEnd,GeneralDesc,CompletionDesc,ProductionImpact_kWh,WarrantyClaim,Priority,Date_EventStart_Consistent,Date_EventEnd_Consistent,Dataset,Asset,CompletionActivity,FailureCategories,ImpactLevel,WarrantyType,InsuranceClaim,LaborEffort_Hrs,Cause,OpEventID,states,Commissioning_Date,FullDesc,FullDescCleaned,FullDescTokenized,FullDescEmbeds
C3S399,WO-0240712,Completed,Corrective,2018-12-31 07:25:00,2019-01-01 08:25:00,"Saint Albans - String inverter 3-1-18 - Forced outage/communications system outage. String inverter 3-1-18 is offline/not communicating as of 0725 on 12/31/18. Both 3-7-27 and 3-1-18 stopped communicating simultaneously but C4 was only able to determine that one of these inverters is actually producing. Since they stopped communicating at the same time, however, we are unable to determine which inverter has a communications issue and which is a production issue.. 019 - Unplanned outage/derate",Issue self resolved on 01/01/19. TechDispatched: No,,No,Normal,2018-12-31 07:25:00:00,2019-01-01 08:25:00:00,C3b,Inverter,14 - Self Resolved,Failure Class 5 - combiner(s) off-line,Underperformance,,,0.0,019 - Unplanned outage/derate. ,OE-13999474,VT,2018-09-21,"Saint Albans - String inverter 3-1-18 - Forced outage/communications system outage. String inverter 3-1-18 is offline/not communicating as of 0725 on 12/31/18. Both 3-7-27 and 3-1-18 stopped communicating simultaneously but C4 was only able to determine that one of these inverters is actually producing. Since they stopped communicating at the same time, however, we are unable to determine which inverter has a communications issue and which is a production issue.. 019 - Unplanned outage/derateIssue self resolved on 01/01/19. TechDispatched: No",saint albans string inverter forced outage communications system outage string inverter offline communicating stopped communicating simultaneously c able determine one inverters actually producing since stopped communicating time however unable determine inverter communications issue production issue unplanned outage derateissue self resolved techdispatched,"['saint', 'albans', 'string', 'inverter', 'forced', 'outage', 'communications', 'system', 'outage', 'string', 'inverter', 'offline', 'communicating', 'stopped', 'communicating', 'simultaneously', 'c', 'able', 'determine', 'one', 'inverters', 'actually', 'producing', 'since', 'stopped', 'communicating', 'time', 'however', 'unable', 'determine', 'inverter', 'communications', 'issue', 'production', 'issue', 'unplanned', 'outage', 'derateissue', 'self', 'resolved', 'techdispatched']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 3), (5, 2), (6, 1), (7, 2), (8, 1), (9, 1), (10, 3), (11, 1), (12, 2), (13, 1), (14, 1), (15, 3), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 2), (24, 2), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1)]"
C3S177,WO-00007036,Closed,Corrective Maintenance,2017-10-16 10:40:00,2017-10-17 10:01:00,Mod 1.7 offline Update 10/16: Alarm on AlsoEnergy at 1:58 PM indicates that the inverter faulted on differential voltage between the DC bus and solar field after closing the DC contactor.. 542,Upon arrival I was greeted by autumn landis with security and spoke to a Richard from Randolph security. I was told cypress creek is not allowed on site unless we make arrangements ahead of time and are escorted the whole time.. ,,,,2017-10-16 10:40:00,2017-10-17 10:01:00,C3a,Central Inverter,Other,Production Outage,Production Outage,,,0.7956,,,NC,2017-07-20,Mod 1.7 offline Update 10/16: Alarm on AlsoEnergy at 1:58 PM indicates that the inverter faulted on differential voltage between the DC bus and solar field after closing the DC contactor.. 542Upon arrival I was greeted by autumn landis with security and spoke to a Richard from Randolph security. I was told cypress creek is not allowed on site unless we make arrangements ahead of time and are escorted the whole time.. ,mod offline update alarm alsoenergy pm indicates inverter faulted differential voltage dc bus solar field closing dc contactor upon arrival greeted autumn landis security spoke richard randolph security told cypress creek allowed site unless make arrangements ahead time escorted whole time,"['mod', 'offline', 'update', 'alarm', 'alsoenergy', 'pm', 'indicates', 'inverter', 'faulted', 'differential', 'voltage', 'dc', 'bus', 'solar', 'field', 'closing', 'dc', 'contactor', 'upon', 'arrival', 'greeted', 'autumn', 'landis', 'security', 'spoke', 'richard', 'randolph', 'security', 'told', 'cypress', 'creek', 'allowed', 'site', 'unless', 'make', 'arrangements', 'ahead', 'time', 'escorted', 'whole', 'time']","[(10, 1), (13, 1), (27, 2), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1), (38, 1), (39, 1), (40, 1), (41, 1), (42, 2), (43, 1), (44, 1), (45, 1), (46, 1), (47, 1), (48, 1), (49, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 1), (55, 2), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (64, 1)]"
C3S289,WO-1068074,Completed,Corrective,,,Adirondack - Inverter 3.10 - Forced Outage. 7/3/19 10:00 Adirondack Inverter 3.10 stopped producing. C4 has no remote access to this site. (not in LastPass). See Screen Shot.. 010 - Over temperature,"7/18/2019 Tim Chaput - Verified tripped AC breaker upon arrival at the site. - Took inverters 3-9 & 3-11 off line (AC & DC) - Opened panelboard 3 main breaker in switchboard, and LOTO'ed. - Removed both covers from inverter 3-10 & panelboard 3 including dead front. - Verified no power (live-dead-live). - Found no issues internal to inverter 3-10 (same as last inspection). - Replaced defective 100A, 3 pole, Eaton breaker with new. Noted heat damage to B phase of old breaker (see photos). - Replaced all covers. - Closed all breakers, and checked voltage (all good). - Placed all 3 inverters back into service with no issues. All 3 returned to service. - Using front display, and noted all AC voltages, on all 3 inverters good, and well within spec. - Will monitor this inverter in the coming days.",,,Normal,2019-07-03 09:00:00,2019-07-18 17:00:00,C3c,Inverter,01 - Replace,Failure Class 3 - single inverter off-line,Underperformance,,,7.65,010 - Over temperature,,NY,2018-07-25,"Adirondack - Inverter 3.10 - Forced Outage. 7/3/19 10:00 Adirondack Inverter 3.10 stopped producing. C4 has no remote access to this site. (not in LastPass). See Screen Shot.. 010 - Over temperature7/18/2019 Tim Chaput - Verified tripped AC breaker upon arrival at the site. - Took inverters 3-9 & 3-11 off line (AC & DC) - Opened panelboard 3 main breaker in switchboard, and LOTO'ed. - Removed both covers from inverter 3-10 & panelboard 3 including dead front. - Verified no power (live-dead-live). - Found no issues internal to inverter 3-10 (same as last inspection). - Replaced defective 100A, 3 pole, Eaton breaker with new. Noted heat damage to B phase of old breaker (see photos). - Replaced all covers. - Closed all breakers, and checked voltage (all good). - Placed all 3 inverters back into service with no issues. All 3 returned to service. - Using front display, and noted all AC voltages, on all 3 inverters good, and well within spec. - Will monitor this inverter in the coming days.",adirondack inverter forced outage adirondack inverter stopped producing c remote access site lastpass see screen shot temperature tim chaput verified tripped ac breaker upon arrival site took inverters line ac dc opened panelboard main breaker switchboard loto ed removed covers inverter panelboard including dead front verified power live dead live found issues internal inverter last inspection replaced defective pole eaton breaker new noted heat damage b phase old breaker see photos replaced covers closed breakers checked voltage good placed inverters back service issues returned service using front display noted ac voltages inverters good well within spec monitor inverter coming days,"['adirondack', 'inverter', 'forced', 'outage', 'adirondack', 'inverter', 'stopped', 'producing', 'c', 'remote', 'access', 'site', 'lastpass', 'see', 'screen', 'shot', 'temperature', 'tim', 'chaput', 'verified', 'tripped', 'ac', 'breaker', 'upon', 'arrival', 'site', 'took', 'inverters', 'line', 'ac', 'dc', 'opened', 'panelboard', 'main', 'breaker', 'switchboard', 'loto', 'ed', 'removed', 'covers', 'inverter', 'panelboard', 'including', 'dead', 'front', 'verified', 'power', 'live', 'dead', 'live', 'found', 'issues', 'internal', 'inverter', 'last', 'inspection', 'replaced', 'defective', 'pole', 'eaton', 'breaker', 'new', 'noted', 'heat', 'damage', 'b', 'phase', 'old', 'breaker', 'see', 'photos', 'replaced', 'covers', 'closed', 'breakers', 'checked', 'voltage', 'good', 'placed', 'inverters', 'back', 'service', 'issues', 'returned', 'service', 'using', 'front', 'display', 'noted', 'ac', 'voltages', 'inverters', 'good', 'well', 'within', 'spec', 'monitor', 'inverter', 'coming', 'days']","[(3, 1), (8, 1), (10, 5), (11, 3), (15, 1), (16, 1), (23, 1), (35, 1), (42, 1), (56, 2), (62, 1), (63, 1), (65, 3), (66, 1), (67, 2), (68, 1), (69, 1), (70, 4), (71, 1), (72, 1), (73, 1), (74, 1), (75, 1), (76, 2), (77, 1), (78, 1), (79, 2), (80, 1), (81, 1), (82, 1), (83, 1), (84, 1), (85, 2), (86, 2), (87, 1), (88, 1), (89, 1), (90, 1), (91, 2), (92, 1), (93, 1), (94, 1), (95, 2), (96, 1), (97, 1), (98, 1), (99, 1), (100, 2), (101, 1), (102, 1), (103, 2), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 2), (112, 1), (113, 1), (114, 2), (115, 2), (116, 1), (117, 1), (118, 1), (119, 1), (120, 1), (121, 1), (122, 1), (123, 1), (124, 2), (125, 1), (126, 1), (127, 1)]"
C5S153,5921,Closed,Corrective,2018-11-02 14:25:23,2018-11-05 18:30:39,McKenzie - Inverter C2 - Offline (Hurricane Florence). ,"S. Hanrahan 2018-11-02 10:26
Inverter is offline with a 7605 internal comms error.  Inverter did not come back online after site was restored after the hurricane.
** 2018-11-05, cshoup, 10:43; NCoxe on site to investigate. found inverter to have internal comms issue. SD card was cleared and inverter was power cycled. Inverter C2 is back online and producing. NCoxe to investigater ComBox isue, reference WO 4056.. ",,,High,2018-11-02 14:25:23,2018-11-05 18:30:39,C5,Inverter/String Inverter,,AC Issues,Underperformance,,,7.5,,,NC,2013-12-23,"McKenzie - Inverter C2 - Offline (Hurricane Florence). S. Hanrahan 2018-11-02 10:26
Inverter is offline with a 7605 internal comms error.  Inverter did not come back online after site was restored after the hurricane.
** 2018-11-05, cshoup, 10:43; NCoxe on site to investigate. found inverter to have internal comms issue. SD card was cleared and inverter was power cycled. Inverter C2 is back online and producing. NCoxe to investigater ComBox isue, reference WO 4056.. ",mckenzie inverter c offline hurricane florence hanrahan inverter offline internal comms error inverter come back online site restored hurricane cshoup ncoxe site investigate found inverter internal comms issue sd card cleared inverter power cycled inverter c back online producing ncoxe investigater combox isue reference wo,"['mckenzie', 'inverter', 'c', 'offline', 'hurricane', 'florence', 'hanrahan', 'inverter', 'offline', 'internal', 'comms', 'error', 'inverter', 'come', 'back', 'online', 'site', 'restored', 'hurricane', 'cshoup', 'ncoxe', 'site', 'investigate', 'found', 'inverter', 'internal', 'comms', 'issue', 'sd', 'card', 'cleared', 'inverter', 'power', 'cycled', 'inverter', 'c', 'back', 'online', 'producing', 'ncoxe', 'investigater', 'combox', 'isue', 'reference', 'wo']","[(3, 2), (10, 6), (12, 1), (13, 2), (16, 1), (56, 2), (69, 2), (84, 1), (90, 2), (108, 1), (128, 1), (129, 1), (130, 1), (131, 1), (132, 2), (133, 1), (134, 1), (135, 1), (136, 1), (137, 1), (138, 2), (139, 1), (140, 1), (141, 1), (142, 1), (143, 2), (144, 2), (145, 1), (146, 1), (147, 1), (148, 1)]"
C3S66,WO-1070705,Completed,Corrective,,,IS 46 - Inv W_B3_1 - SMPS Fail Alarm. 8-Nov SCADA shows an alarm for Inv W_B3_1 SMPS alarm - Inverter is online and produced all day - SMPS Switching Mode Power Supply. 0000 - Unknown,11/11: Inspection shows no issues with the inverter. We will monitor.,,,Normal,2019-11-08 09:00:00,2019-11-11 17:00:00,C3c,Inverter,09 - Inspection,"Failure Class 10 - equipment not off-line, no loss of production",Underperformance,,,2.0,0000 - Unknown,,NC,2016-12-15,IS 46 - Inv W_B3_1 - SMPS Fail Alarm. 8-Nov SCADA shows an alarm for Inv W_B3_1 SMPS alarm - Inverter is online and produced all day - SMPS Switching Mode Power Supply. 0000 - Unknown11/11: Inspection shows no issues with the inverter. We will monitor.,inv w b smps fail alarm nov scada shows alarm inv w b smps alarm inverter online produced day smps switching mode power supply unknown inspection shows issues inverter monitor,"['inv', 'w', 'b', 'smps', 'fail', 'alarm', 'nov', 'scada', 'shows', 'alarm', 'inv', 'w', 'b', 'smps', 'alarm', 'inverter', 'online', 'produced', 'day', 'smps', 'switching', 'mode', 'power', 'supply', 'unknown', 'inspection', 'shows', 'issues', 'inverter', 'monitor']","[(10, 2), (31, 3), (68, 2), (89, 1), (91, 1), (98, 1), (108, 1), (144, 1), (149, 1), (150, 1), (151, 2), (152, 1), (153, 1), (154, 1), (155, 1), (156, 2), (157, 3), (158, 1), (159, 1), (160, 1), (161, 2)]"
C3S47,WO-0236163,Completed,Corrective,2018-12-06,2018-12-11,Panel on Inv 1-04-04 loose/blew off. Sam D (12/6/18) - Chris Roth and Bill Richmond reported a loose panel belonging to Inverter 1-04-04. See attachment pictures. No torque marks on the panel mounting hardware. This is the string closest to the Inverter. Potential to be a warranty claim. Loose/blown panels found before during O&M inspection last week of July 2018. Glenn Fitzgerald and Mitchell Durant replaced those at that time.. 013 - Broken,Visit site on 12/10/18 replace bad module. completed installation 12/11/18 after sourcing hardware.. TechDispatched: Yes,,No,Low,2018-12-06 09:00:00,2018-12-11 17:00:00,C3b,Inverter,01 - Replace,Failure Class 7 - module(s) off-line,Underperformance,,,0.0,013 - Broken. ,,MN,2018-03-09,Panel on Inv 1-04-04 loose/blew off. Sam D (12/6/18) - Chris Roth and Bill Richmond reported a loose panel belonging to Inverter 1-04-04. See attachment pictures. No torque marks on the panel mounting hardware. This is the string closest to the Inverter. Potential to be a warranty claim. Loose/blown panels found before during O&M inspection last week of July 2018. Glenn Fitzgerald and Mitchell Durant replaced those at that time.. 013 - BrokenVisit site on 12/10/18 replace bad module. completed installation 12/11/18 after sourcing hardware.. TechDispatched: Yes,panel inv loose blew sam chris roth bill richmond reported loose panel belonging inverter see attachment pictures torque marks panel mounting hardware string closest inverter potential warranty claim loose blown panels found inspection last week july glenn fitzgerald mitchell durant replaced time brokenvisit site replace bad module completed installation sourcing hardware techdispatched yes,"['panel', 'inv', 'loose', 'blew', 'sam', 'chris', 'roth', 'bill', 'richmond', 'reported', 'loose', 'panel', 'belonging', 'inverter', 'see', 'attachment', 'pictures', 'torque', 'marks', 'panel', 'mounting', 'hardware', 'string', 'closest', 'inverter', 'potential', 'warranty', 'claim', 'loose', 'blown', 'panels', 'found', 'inspection', 'last', 'week', 'july', 'glenn', 'fitzgerald', 'mitchell', 'durant', 'replaced', 'time', 'brokenvisit', 'site', 'replace', 'bad', 'module', 'completed', 'installation', 'sourcing', 'hardware', 'techdispatched', 'yes']","[(10, 2), (24, 1), (26, 1), (27, 1), (56, 1), (84, 1), (89, 1), (92, 1), (111, 1), (114, 1), (151, 1), (162, 1), (163, 1), (164, 1), (165, 1), (166, 1), (167, 1), (168, 1), (169, 1), (170, 1), (171, 1), (172, 1), (173, 1), (174, 1), (175, 1), (176, 2), (177, 1), (178, 1), (179, 3), (180, 1), (181, 1), (182, 1), (183, 1), (184, 3), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1), (193, 1), (194, 1), (195, 1), (196, 1), (197, 1)]"
C3S83,WO-0204647,Closed,Corrective,2018-01-01 10:09:00,2018-01-06 12:00:00,WO-00008171 ; Innovative 6 ; Central Inverter - Underperformance ;. Inverters 1 and 2 are displaying low internal temperature faults that are causing them to underperform. Faults should clear once the units are warmed up.---Created By; Sean M. McCormick on: 01/01/2018. 011 - Under temperature,Issue self resolved. Inverters were at max production on 01/06. TechDispatched: No,,No,Normal,2018-01-01 10:09:00:00,2018-01-06 12:00:00:00,C3b,Inverter,14 - Self Resolved,Failure Class 3 - single inverter off-line,Underperformance,,,0.0,011 - Under temperature. ,,NC,2015-12-17,WO-00008171 ; Innovative 6 ; Central Inverter - Underperformance ;. Inverters 1 and 2 are displaying low internal temperature faults that are causing them to underperform. Faults should clear once the units are warmed up.---Created By; Sean M. McCormick on: 01/01/2018. 011 - Under temperatureIssue self resolved. Inverters were at max production on 01/06. TechDispatched: No,wo innovative central inverter underperformance inverters displaying low internal temperature faults causing underperform faults clear units warmed created sean mccormick temperatureissue self resolved inverters max production techdispatched,"['wo', 'innovative', 'central', 'inverter', 'underperformance', 'inverters', 'displaying', 'low', 'internal', 'temperature', 'faults', 'causing', 'underperform', 'faults', 'clear', 'units', 'warmed', 'created', 'sean', 'mccormick', 'temperatureissue', 'self', 'resolved', 'inverters', 'max', 'production', 'techdispatched']","[(10, 1), (11, 2), (17, 1), (18, 1), (20, 1), (26, 1), (90, 1), (119, 1), (148, 1), (198, 1), (199, 1), (200, 1), (201, 1), (202, 1), (203, 2), (204, 1), (205, 1), (206, 1), (207, 1), (208, 1), (209, 1), (210, 1), (211, 1), (212, 1), (213, 1)]"
C3S311,WO-1045872,Closed,Corrective,2018-06-28 01:13:00,2018-08-30 14:00:00,Grove - Inverter 1.2.1 - Communicating outage. Grove - Inverter 1.2.1 - Communicating outage - C4 can verify production using meter data. C4 cannot access inverter remotely - Inverter 1.3.1 has a work order on hold with the same problem.. 020 - Data/Communication System Outage,Issue self resolved 30-Aug. No maintenance done to resolve issue according to logs.,,,Normal,2018-06-28 01:13:00,2018-08-30 14:00:00,C3d,Inverter,14 - Self Resolved,Failure Class 3 - single inverter off-line,Underperformance,,,,020 - Data/Communication System Outage,,OR,2016-10-12,Grove - Inverter 1.2.1 - Communicating outage. Grove - Inverter 1.2.1 - Communicating outage - C4 can verify production using meter data. C4 cannot access inverter remotely - Inverter 1.3.1 has a work order on hold with the same problem.. 020 - Data/Communication System OutageIssue self resolved 30-Aug. No maintenance done to resolve issue according to logs.,grove inverter communicating outage grove inverter communicating outage c verify production using meter data c access inverter remotely inverter work order hold problem data communication system outageissue self resolved aug maintenance done resolve issue according logs,"['grove', 'inverter', 'communicating', 'outage', 'grove', 'inverter', 'communicating', 'outage', 'c', 'verify', 'production', 'using', 'meter', 'data', 'c', 'access', 'inverter', 'remotely', 'inverter', 'work', 'order', 'hold', 'problem', 'data', 'communication', 'system', 'outageissue', 'self', 'resolved', 'aug', 'maintenance', 'done', 'resolve', 'issue', 'according', 'logs']","[(3, 2), (4, 2), (10, 4), (12, 1), (15, 2), (17, 1), (18, 1), (20, 1), (25, 1), (66, 1), (123, 1), (214, 1), (215, 1), (216, 1), (217, 2), (218, 1), (219, 2), (220, 1), (221, 1), (222, 1), (223, 1), (224, 1), (225, 1), (226, 1), (227, 1), (228, 1), (229, 1), (230, 1)]"
C3S223,WO-0256715,Completed,Corrective,2019-03-16 00:45:00,2019-03-18 10:30:00,Franklinton---Inverters 2 & 3---Comms loss. Franklinton Inverters 2 &3 comms loss. Inverter Production verified through meters.. 020 - Data/Communication System Outage,"After a power cycle, inverters 2 & 3 began reporting. This seems to have been a stuck data logger issue. CB's 3.8 & 3.13 were found to be tripped after inverter comms were restored. Operation resumed after a reset of the CB's. Production and communication confirmed with C4.. TechDispatched: Yes",,No,Normal,2019-03-16 00:45:00:00,2019-03-18 10:30:00:00,C3b,Inverter,05 - Refit(Reset),"Failure Class 10 - equipment not off-line, no loss of production",Underperformance,,,3.88,020 - Data/Communication System Outage. ,OE-19689830,NC,2017-03-28,"Franklinton---Inverters 2 & 3---Comms loss. Franklinton Inverters 2 &3 comms loss. Inverter Production verified through meters.. 020 - Data/Communication System OutageAfter a power cycle, inverters 2 & 3 began reporting. This seems to have been a stuck data logger issue. CB's 3.8 & 3.13 were found to be tripped after inverter comms were restored. Operation resumed after a reset of the CB's. Production and communication confirmed with C4.. TechDispatched: Yes",franklinton inverters comms loss franklinton inverters comms loss inverter production verified meters data communication system outageafter power cycle inverters began reporting seems stuck data logger issue cb found tripped inverter comms restored operation resumed reset cb production communication confirmed c techdispatched yes,"['franklinton', 'inverters', 'comms', 'loss', 'franklinton', 'inverters', 'comms', 'loss', 'inverter', 'production', 'verified', 'meters', 'data', 'communication', 'system', 'outageafter', 'power', 'cycle', 'inverters', 'began', 'reporting', 'seems', 'stuck', 'data', 'logger', 'issue', 'cb', 'found', 'tripped', 'inverter', 'comms', 'restored', 'operation', 'resumed', 'reset', 'cb', 'production', 'communication', 'confirmed', 'c', 'techdispatched', 'yes']","[(3, 1), (10, 2), (11, 3), (12, 1), (17, 2), (25, 1), (26, 1), (84, 1), (108, 1), (122, 1), (124, 1), (132, 3), (146, 1), (197, 1), (216, 2), (217, 2), (231, 1), (232, 2), (233, 1), (234, 1), (235, 2), (236, 1), (237, 2), (238, 1), (239, 1), (240, 1), (241, 1), (242, 1), (243, 1), (244, 1), (245, 1)]"
C3S66,WO-0205625,Closed,Corrective,2017-10-26 11:29:00,2017-10-26 11:45:00,WO-00007208 ; IS 46 ; Central Inverter - Production Outage ;. Inverter E-A7-2 offline. Modules damaged causing ground fault. CB to be isolated.---Created By; Julien Glover on: 10/26/2017. 001 - Ground fault,"26 Oct: We were alerted to an inverter outage at E-A7-2 at 1045. Upon investigation, we discovered that a skid-steer operator from HBC (working on the site roads per Punchlist) hit two modules. This caused a Ground Fault in the array and tripped the inverter offline. Pictures Attached. Work Performed: We alerted Entropy (as they are the responsible contractor) and HBC. The supervisors for both came to the location. In an effort to get the inverter back online asap, CCR took lead. CCR Opened and LOTO'd the applicable CB. We then cleared and reset the inverter. It came back online with no issues. It was producing again by 1130. At that time, Entropy was cleared to replace the broken modules. CCR ensured the Source-Circuits were unplugged before work began. Entropy workers had the modules replaced within 30 minutes. CCR then inspected the work, connected the Source Circuit wiring to the String Wiring and took voltage measurements to ensure proper Voc. The fuses in the CB were tested and tested OK. All string touch-safe fuse holders were closed in with the exception of the string that was just addressed with the repair. The CB was then CLOSED in and voltage/current measurements were taken to ensure there were no issues. Lastly, the repaired string was closed in and held with no issues. The area was cleaned and cleared with no issues and all repairs were successful.. TechDispatched: No",,No,Normal,2017-10-26 11:29:00:00,2017-10-26 11:45:00:00,C3b,Inverter,12 - Other,Failure Class 3 - single inverter off-line,Underperformance,,,0.0,001 - Ground fault. ,,NC,2016-12-15,"WO-00007208 ; IS 46 ; Central Inverter - Production Outage ;. Inverter E-A7-2 offline. Modules damaged causing ground fault. CB to be isolated.---Created By; Julien Glover on: 10/26/2017. 001 - Ground fault26 Oct: We were alerted to an inverter outage at E-A7-2 at 1045. Upon investigation, we discovered that a skid-steer operator from HBC (working on the site roads per Punchlist) hit two modules. This caused a Ground Fault in the array and tripped the inverter offline. Pictures Attached. Work Performed: We alerted Entropy (as they are the responsible contractor) and HBC. The supervisors for both came to the location. In an effort to get the inverter back online asap, CCR took lead. CCR Opened and LOTO'd the applicable CB. We then cleared and reset the inverter. It came back online with no issues. It was producing again by 1130. At that time, Entropy was cleared to replace the broken modules. CCR ensured the Source-Circuits were unplugged before work began. Entropy workers had the modules replaced within 30 minutes. CCR then inspected the work, connected the Source Circuit wiring to the String Wiring and took voltage measurements to ensure proper Voc. The fuses in the CB were tested and tested OK. All string touch-safe fuse holders were closed in with the exception of the string that was just addressed with the repair. The CB was then CLOSED in and voltage/current measurements were taken to ensure there were no issues. Lastly, the repaired string was closed in and held with no issues. The area was cleaned and cleared with no issues and all repairs were successful.. TechDispatched: No",wo central inverter production outage inverter e offline modules damaged causing ground fault cb isolated created julien glover ground fault oct alerted inverter outage e upon investigation discovered skid steer operator hbc working site roads per punchlist hit two modules caused ground fault array tripped inverter offline pictures attached work performed alerted entropy responsible contractor hbc supervisors came location effort get inverter back online asap ccr took lead ccr opened loto applicable cb cleared reset inverter came back online issues producing time entropy cleared replace broken modules ccr ensured source circuits unplugged work began entropy workers modules replaced within minutes ccr inspected work connected source circuit wiring string wiring took voltage measurements ensure proper voc fuses cb tested tested ok string touch safe fuse holders closed exception string addressed repair cb closed voltage current measurements taken ensure issues lastly repaired string closed held issues area cleaned cleared issues repairs successful techdispatched,"['wo', 'central', 'inverter', 'production', 'outage', 'inverter', 'e', 'offline', 'modules', 'damaged', 'causing', 'ground', 'fault', 'cb', 'isolated', 'created', 'julien', 'glover', 'ground', 'fault', 'oct', 'alerted', 'inverter', 'outage', 'e', 'upon', 'investigation', 'discovered', 'skid', 'steer', 'operator', 'hbc', 'working', 'site', 'roads', 'per', 'punchlist', 'hit', 'two', 'modules', 'caused', 'ground', 'fault', 'array', 'tripped', 'inverter', 'offline', 'pictures', 'attached', 'work', 'performed', 'alerted', 'entropy', 'responsible', 'contractor', 'hbc', 'supervisors', 'came', 'location', 'effort', 'get', 'inverter', 'back', 'online', 'asap', 'ccr', 'took', 'lead', 'ccr', 'opened', 'loto', 'applicable', 'cb', 'cleared', 'reset', 'inverter', 'came', 'back', 'online', 'issues', 'producing', 'time', 'entropy', 'cleared', 'replace', 'broken', 'modules', 'ccr', 'ensured', 'source', 'circuits', 'unplugged', 'work', 'began', 'entropy', 'workers', 'modules', 'replaced', 'within', 'minutes', 'ccr', 'inspected', 'work', 'connected', 'source', 'circuit', 'wiring', 'string', 'wiring', 'took', 'voltage', 'measurements', 'ensure', 'proper', 'voc', 'fuses', 'cb', 'tested', 'tested', 'ok', 'string', 'touch', 'safe', 'fuse', 'holders', 'closed', 'exception', 'string', 'addressed', 'repair', 'cb', 'closed', 'voltage', 'current', 'measurements', 'taken', 'ensure', 'issues', 'lastly', 'repaired', 'string', 'closed', 'held', 'issues', 'area', 'cleaned', 'cleared', 'issues', 'repairs', 'successful', 'techdispatched']","[(10, 6), (13, 2), (15, 2), (16, 1), (17, 1), (24, 4), (26, 1), (27, 1), (56, 1), (62, 1), (63, 2), (69, 2), (74, 3), (91, 4), (96, 1), (102, 1), (111, 1), (121, 2), (122, 1), (127, 1), (129, 3), (144, 2), (148, 1), (186, 1), (188, 1), (198, 1), (199, 1), (201, 1), (230, 3), (231, 1), (232, 4), (242, 1), (246, 1), (247, 2), (248, 1), (249, 1), (250, 1), (251, 1), (252, 1), (253, 1), (254, 2), (255, 1), (256, 4), (257, 1), (258, 1), (259, 1), (260, 1), (261, 1), (262, 1), (263, 1), (264, 1), (265, 2), (266, 1), (267, 2), (268, 1), (269, 3), (270, 1), (271, 3), (272, 1), (273, 1), (274, 1), (275, 1), (276, 3), (277, 2), (278, 1), (279, 1), (280, 1), (281, 1), (282, 1), (283, 1), (284, 1), (285, 1), (286, 1), (287, 1), (288, 2), (289, 1), (290, 4), (291, 1), (292, 1), (293, 1), (294, 1), (295, 1), (296, 1), (297, 1), (298, 1), (299, 1), (300, 1), (301, 1), (302, 1), (303, 1), (304, 1), (305, 2), (306, 1), (307, 1), (308, 1), (309, 1), (310, 2), (311, 1), (312, 1), (313, 1), (314, 1), (315, 2), (316, 1), (317, 1)]"
