randid,Date_EventStart_Consistent,Date_EventEnd_Consistent,GeneralDesc,CompletionDesc,Asset,states,Commissioning_Date,DC_Size_kW,AC_Size_kW,PlantType,ArrayType,InverterType,InverterOEM
C1S28,2018-10-09 09:00:00,,"10/9 Heavy roof corrosion, not PV related band room.",,,HI,2018-12-20,18.3,16.8,Distributed Generation,Fixed,Micro,
C1S28,2018-10-09 09:00:00,,10/9 Shading on chapel roof from adjacent palm trees,,,HI,2018-12-20,18.3,16.8,Distributed Generation,Fixed,Micro,
C1S28,2018-10-09 09:00:00,,10/9 Visible weather cracking on library roof penetrations,,,HI,2018-12-20,18.3,16.8,Distributed Generation,Fixed,Micro,
C1S28,2018-10-09 09:00:00,,10/9 Missing end clamps on Maryknoll Building,,,HI,2018-12-20,18.3,16.8,Distributed Generation,Fixed,Micro,
C1S28,2018-10-09 09:00:00,,10/9 Maryknoll AC disconnect is not outdoor rated but is sheltered.,,,HI,2018-12-20,18.3,16.8,Distributed Generation,Fixed,Micro,
C1S77,2018-04-12 09:00:00,,4/12 Comms went out,4/12 Checking to see if HT has someone on site to check on modem.4/15 Comms was restored and confirmed it was on and operating.,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S77,2018-07-06 09:00:00,,7/6 Inverter 413 is producing lower than others on site.,Informed HT of shading from neighboring tree; AC disconnect off and reset by T3 7/13,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S77,2018-07-13 09:00:00,2018-07-13 17:00:00,7/13 All inverters errored with nogrid code.  Egauge also not reporting.,7/13 AC Disconnect was found switched to open position.  Put lock on to prevent again since location was exposed.,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S77,2018-09-05 09:00:00,,"9/5 Comms to site is down including the eGauge, Cradlepoint and SP. Site visit this week. 9/6 Bear reset the breaker to the eGauge.",Site visit,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S77,2018-06-26 09:00:00,,Comms conduit clips not holding,Bear corrected same day.,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S77,2018-06-26 09:00:00,,Shading from palm trees at adjacent property,HT notified,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S77,2018-06-26 09:00:00,,Conduit supports sliding,,,HI,2016-02-01,74.115,69.3,Distributed Generation,Fixed,String,
C1S129,2016-11-11 09:00:00,,Both inverters showing 0 production from 11/11 at 8:00 AM,Self-resolved,,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2017-01-31 09:00:00,2017-02-24 17:00:00,"Underproduction, staring around Oct/Nov 2016","2/7: 1 inverter at each building has failed, in addition 1 string on inverter 7 has a blown fuse. Inverter 10 has an ""Imax"" disturbance and is confirmed dead by Sunpower tech support. Inverter 5 has burnt components inside and a tripped AC breaker. Case number 00899226 with SunPower. Sunpower indicates we need to be an authorized dealer to replace. Will contact DEP for warranty repair.   2/8: Warranty claim sent to Rod at DEP.; follow up with resident manager to see if they will install comms; email to DEP 3/8; DEP replaced inverters 3/22",,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2017-04-08 09:00:00,,Relative performance alarm,Monitor,,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2017-05-08 09:00:00,,Relative Performance Alarm,Spoke to John Tripp 5/8; they will have someone check if inverters on and reply to T3; may require visit; confirmed with Joseph Tripp inv on; self-resolved 5/10,,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2017-08-23 09:00:00,,Tower A looks to have stopped reporting production around noon 8/21; Bear power cycled inverters. One on building A RMA'd,"Site visit to check; following Bear's visit 8/25, production reporting looks back to normal; monitor to ensure",,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2018-02-09 09:00:00,,"Building A - likely ground fault with inverter 4; following relative alert notice, checked meter generation stats per building in advanced analytical mode of Deck; confirmed difference in production greater than 40 kW (A) and 52 kW (B) nameplate differences; called resident manager (734-5222) to check inverters; person named Tim Adams called back (388-7976) noting that inverter 4 is showing an error and not producing",Site visit to check on fault,,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2018-03-12 09:00:00,2018-03-12 17:00:00,Tower B last reported 3/10; should also check Tower A; left message with resident manager 3/12 for status check,Left message with Resident Manager - Tim Adams C: 808-388-7976 on 3/12,,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C1S129,2018-04-10 09:00:00,2018-05-21 17:00:00,Alerts of no comms with system on 4/10,"followed up with Deck, who thought it might be comms as they could not see; spoke to Tim Adams, resident manager on site, who confirmed operation of both systems and said no other comms issues at site

Reset power to both sites. Awaiting response. All inverters verified operating except o e which has a pending RMA.",,HI,2014-07-10,102.024,,Distributed Generation,Fixed,String,
C2S54,2018-03-16 11:55:00,2018-03-29 13:40:00,Inverter underperforming due to unknown,Power Cycle. Hardware Replaced: ,Inverter,CA,2012-07-23,181.0,250.0,Distributed Generation,,central,
