,Date_EventStart,Date_EventEnd,Asset,CompletionDesc,Cause,ImpactLevel,randid,ExtractedDates,CleanDesc
0,10/12/2017 13:19,10/13/2017 17:00,inverter,inverter back online. techdispatched: no,019 - Unplanned outage/derate. ,Underperformance,55,[],inverter back online techdispatched
1,12/15/2018 14:36,12/17/2018 20:06,inverter,"2018-12-15, 09:37 ; inverter a2 failed to start up this inverter is still communicating, can be accessed directly. error code 3502 present inverter, tripped. visuals attached. investigated a2 array for ground fault discovered several racks that have fallen due to storm damage possibly causing source circuit wires to become bound, alleviated all bound source circuit wires array, cycled inverter inverter producing per 12/17/2018.","3502 error, GFDI tripped",Underperformance,68,"[datetime.datetime(2018, 12, 15, 9, 37), datetime.datetime(2018, 12, 17, 14, 36)]",inverter failed start inverter still communicating accessed directly error code present inverter tripped visuals attached investigated array ground fault discovered several racks fallen due storm damage possibly causing source circuit wires become bound alleviated bound source circuit wires array cycled inverter inverter producing per
2,3/23/2017 16:06,3/24/2017 9:58,inverter,investigate inverter down. inverter 3.5 had resumed operation prior to arrival. a case will be created with if issue persists.. techdispatched: no,. ,Underperformance,29,[],investigate inverter inverter resumed operation prior arrival case created issue persists techdispatched
3,3/27/2018 7:24,3/27/2018 7:24,facility,logging time for daily inspections. these inspections include: - daily tracker checks across the entire farm - daily perimeter checks along 5 mile fence line - daily inverter checks (skid checks) - daily substation & control room checks. techdispatched: no,. ,Underperformance,55,[],logging time daily inspections inspections include daily tracker checks across entire farm daily perimeter checks along mile fence line daily inverter checks skid checks daily substation control room checks techdispatched
4,8/9/2018 13:15,8/9/2018 21:00,facility,c4 closed remotely. techdispatched: no,004 - Under voltage. ,Production Outage,44,[],closed remotely techdispatched
5,6/21/2018 18:55,7/3/2018 14:20,inverter,"11,july 2018 -upon arrival w-a6-2, inverter is not running fault light are illuminated. does not have fault error displayed other than emergency stop. warranty claim has been submitted with 11 august: has been onsite repairing several inverters. this inverter is back up running as today (11 august). technician's notes repair are as follows: pulled history noticed multiple emergency fault entries. tested each door switch emergency button to see if they were all functioning correctly. all door switches emergency buttons operated correctly. however during operation inverter running, it started to fault. i reloaded xcu/hmi software from card even reloaded parameters after i replaced xcu, i then reset cb37. inverter left running for rest day. will continue to monitor.. techdispatched: yes",0000 - Unknown. ,Underperformance,53,"[datetime.datetime(2018, 7, 11, 18, 55), datetime.datetime(2018, 6, 2, 18, 55), datetime.datetime(2018, 8, 11, 18, 55)]",july upon arrival w inverter running fault light illuminated fault error displayed emergency stop warranty claim submitted august onsite repairing several inverters inverter back running today august technician notes repair follows pulled history noticed multiple emergency fault entries tested door switch emergency button see functioning correctly door switches emergency buttons operated correctly however operation inverter running started fault reloaded xcu hmi software card even reloaded parameters replaced xcu reset cb inverter left running rest day continue monitor techdispatched yes
6,10/22/2018 9:00,10/23/2018 17:00,tracker,"west: w-a7, row 25, w7-2-25-2, zeroed out tracker, sill did not track, reset a skid is tracking fine now. w-a3, row 19, w3-2-19-2, flat, reset a skid, tracker is tracking good now. all other trackers are tracking good. east: e-a3, row 15, e3-1-15-1, tracker is flat, reset a skid, tracking good now. all other trackers are tracking good. was inspecting all through day.. techdispatched: yes",0000 - Unknown. ,,54,"[datetime.datetime(2018, 10, 25, 9, 0), datetime.datetime(2018, 10, 19, 9, 0), datetime.datetime(2018, 10, 15, 9, 0)]",west row zeroed tracker sill track reset skid tracking fine row flat reset skid tracker tracking good trackers tracking good east row tracker flat reset skid tracking good trackers tracking good inspecting day techdispatched yes
7,8/30/2019 7:35,8/30/2019 14:10,facility,"8/39/19 inverter was faulted with lp15 (low pressure). inverter was showing pressure 17, cleared fault enabled inverter. inverter started with no issues. confirmed with c4 that inverter is now online producing.",019 - Unplanned outage/derate,Underperformance,35,"[datetime.datetime(2019, 8, 17, 7, 35)]",inverter faulted lp low pressure inverter showing pressure cleared fault enabled inverter inverter started issues confirmed inverter online producing
8,10/2/2019 9:00,10/2/2019 17:00,tracker,"10/2/19 e-1, row 51, e1-3-51-1. tracker tracking wrong, lubed both gear boxes, tracker tracking good now.",015 - Motor bearing failure,Underperformance,52,"[datetime.datetime(2019, 10, 2, 9, 0), datetime.datetime(2051, 10, 2, 9, 0)]",row tracker tracking wrong lubed gear boxes tracker tracking good
9,1/30/2019 9:00,3/7/2019 17:00,facility,"3/8/19 semi annual complete, pdf posted chatter. techdispatched: yes",. ,,12,"[datetime.datetime(2019, 3, 8, 9, 0)]",semi annual complete pdf posted chatter techdispatched yes
